prefLabel@fr,Décision\nNe pas convertir,Exact match IAML,Contexte d'utilisation (à mettre en scopenote)\nNe plus mentionner dans le référentiel. A considérer comme note de travail. Ne pas convertir,Contexte (collection skos),altLabel@fr,prefLabel@en,altLabel@en,prefLabel@it,altLabel@it,description@fr,skos:scopeNote@fr,Définition UNIMARC (ne pas convertir),Commentaires (ne pas convertir),mapping RF  (ne pas convertir),mapping BnF  (ne pas convertir),mapping PP (codes fonction issus d'Aloès)  (ne pas convertir),Notes de travail (à ne pas convertir)
       > compositeur  ,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n28/02/2018 : ajout de performance dans le contexte",,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")\nM28 Individual Performance",musical_work\nperformance,,composer,,compositore,,Agent qui crée une œuvre musicale originale. ,,,,,,,
           >> compositeur de la cadence,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n28/02/2018 : ajout de performance dans le contexte",,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")\nM28 Individual Performance",musical_work\nperformance,,composer of cadenza,,compositore della cadenza,,"Agent qui écrit, à l'emplacement prévu par le compositeur, un passage de bravoure pendant lequel un soliste joue ou chante seul.",,,OK,,,,
            >> réalisateur de la basse continue,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")\nM28 Individual Performance",musical_work\nperformance,,composer of basso continuo,,autore del basso continuo,,"Agent qui réalise un développement d’une partie de basse continue, chiffrée ou non.\n",,,OK,,,,
       > arrangeur,09/11/2017 : ok,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,arranger \nmusic arranger,,arrangiatore,,"Agent responsable de la version d’une œuvre musicale par additions, suppressions, ou changements dans l’écriture. Les transpositions d'une tonalité à une autre doivent être considérées comme des arrangements.\n(Z 44-079, complétée) ",,,"Personne qui transcrit une composition musicale, généralement pour en modifier l’instrumentation; dans un arrangement l’idée musicale n’est pas fondamentalement altérée. (UNIMARC)",,,,
           >> créateur de la fantaisie musicale,10/11/17 : OK,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical fantasy ,,autore della fantasia musicale,,"Agent qui crée une fantaisie musicale, morceau de forme libre, parfois très proche de l'improvisation, dans laquelle le créateur donne libre cours à son imagination\n(Siron, modifié)",,,,,,,
          >>  créateur  de la paraphrase musicale,10/11/17 : OK,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical paraphrase ,,autore della parafrasi musicale,,"Agent qui crée une paraphrase musicale, composition libre à partir d'un texte musical préexistant.\n(Encyclopédie de la musique, Paris, Librairie générale française, 1992, modifiée)",,,,,,,
          >> créateur de la réminiscence musicale,10/11/17 : OK,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical reminiscence ,,autore della riminiscenza musicale,,"Agent qui crée une réminiscence, partie d'une oeuvre qui évoque plus ou moins un autre morceau, sans être du plagiat.\n(Siron, Jacques, Dictionnaire des mots de la musique. Paris, Outre mesure, 2002 modifié) ",,,,,,,
          >> créateur  de la variation musicale,10/11/17 : OK,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical variation ,,autore della variazione musicale,,"Agent qui crée une variation musicale, c'est-à-dire qui transforme un élément thématique de base à l'aide de procédés variés.\n(Encyclopédie de la musique. Paris, Librairie générale française, 1992, modifié)",,,,,,,
          >>  créateur du pot-pourri musical,10/11/17 : OK,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical medley ,,autore del medley,,"Agent qui crée un pot-pourri, pièce composée d'une succession de mélodies, entières ou fragmentées, qui ne sont pas habituellement destinées à être jouées ensemble et qui sont souvent reliées par des passages modulants.\n(Siron, Jacques, Dictionnaire des mots de la musique. Paris, Outre mesure, 2002, modifié) ",,,,,,,
          >> harmonisateur,09/11/2017 : ok\n22/12/2017 :Traduction anglaise ajoutée (FL et FP)\n16/02/2018 : revoir la traduction anglaise ?\n05/06/18 : modification de la traduction (MV),,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical harmonization,,autore dell'armonizzazione,,"Agent qui réalise l’adjonction d’accords ou de parties harmoniques à une mélodie.\n(Norme NF Z 44-079, modifiée) ",,,,,,,
          >> notateur de la transposition,10/11/2017\n22/12/2017 :Traduction anglaise ajoutée (FL et FP)\n16/02/2018 : revoir la traduction anglaise ?  \n05/06/18 : modification de la traduction (MV),,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical transposition,,autore della trasposizione,,"Agent qui modifie l'ensemble des hauteurs d'une oeuvre musicale en les déplaçant, vers le haut ou vers le bas, par addition ou soustraction d'un intervalle constant.\n(Siron, Jacques, Dictionnaire des mots de la musique. Paris, Outre mesure, 2002, modifié) ",,,,,,,
          >> orchestrateur,09/11/2017 : ok,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,orchestrator,,orchestratore,,"Agent qui réalise une transcription pour orchestre d’une œuvre non écrite originalement pour celui-ci.\n(Norme NF Z 44-079, modifiée) ",,,,,,,
          >> reconstructeur,09/11/2017 : ok\n22/12/2017 : Traduction anglaise ajoutée (FL et FP,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical reconstruction,,autore della ricostruzione artistica,,Agent qui reconstruit une œuvre perdue ou inachevée.,,,,OK c'est un créateur,,,
          >> créateur de la réduction musicale,"09/11/2017 : ok\n22/12/2017 : ""réducteur"" remplacé par ""créateur de la réduction musicale""  et traduction anglaise ajoutée.",,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical reduction,,curatore della riduzione musicale,,"Agent qui réalise la contraction d’une oeuvre musicale conçue pour plusieurs instruments ou voix, à un plus petit nombre de parties.\n(Siron, Jacques, Dictionnaire des mots de la musique. Paris, Outre mesure, 2002, modiifié)",,,,,,,
          >> réviseur (musique),22/12/2017 : validé par FL et FP,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,creator of musical revision,,autore della revisione artistica,,"Agent qui adapte une partition ancienne aux conventions modernes.\n(Siron, Jacques, Dictionnaire des mots de la musique. Paris, Outre mesure, 2002, modifié)",,,,,,,
          >> transcripteur,09/11/2017 : OK,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")",musical_work,,transcriber,,autore della trascrizione,,Agent qui arrange une œuvre musicale pour un autre instrument ou voix.,"Pour les transcriptions qui réduisent le nombre d'instruments, préférer la fonction réducteur.\nPour les transcriptions pour orchestre, préférer la fonction orchestrateur.",,,,,,
musicien (interprète),ajout par MV le 08/02/18\n28/02/2018 : ajout casting dans contexte,,M28 Individual Performance,performance\ncasting,,musician (performer),,musicista (interprete),,Agent qui exécute ou dirige de la musique.,,,,,,,
musicien metteur en ondes,16/02/2018 : modification de la définition\n14/06/2018 : il est décidé de ne pas traduire ce terme,,F29 Recording Event\nM29 Editing Event,recording\nediting,,,,,,"Agent chargé de la direction artistique des productions musicales enregistrées, en accord avec le chef d'orchestre et les musiciens et en lien avec l'équipe technique, que ce soit pour des concerts diffusés à la radio ou pour des enregistrements discographiques. (Radio France, modifié)",,,,,,,
narrateur,30/10/2017 : ok\n28/02/2018 : ajout casting dans contexte,,M28 Individual Performance,performance\ncasting,lecteur ,narrator,,narratore,,"Agent lisant à voix haute ou\nrendant compte d’une action, d’une situation, du déroulement des événements, etc. (RDA, modifié)","Si elle est incorporée à la distribution d'une oeuvre musicale, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant dont l'expression ainsi créée est incorporée à l'expression exécutée de l'oeuvre musicale",,"Le M14 Medium of Performance ""voix parlée"" a  une définition plus large. Dans le cadre d'un mapping, préciser ""narrateur"" en fonction et ""voix parlée""  (ou une tessiture) en M14 Medium of Performance. ""Récitant"" est considéré comme un personnage (character). ",,,,
notateur du mouvement ,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n29/12/2017 : précision de l'intitulé, ajout d'une variante et d'une traduction anglaise, propositions de nouvelle définition\n16/02/2018 : modification de la définition (VM et CC) --> faut-il le relier à la F22 ? Il transcrit uniquement l'oeuvre",,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work,choréologue,dance notator  \n,,annotatore del movimento,coreologo,"Agent qui retranscrit à l'aide d'un système \nconventionnel les pas, les mouvements et les figures d'une œuvre \nchorégraphique. \n(Office québécois de la langue française, modifié)",,BnF : il est responsable de la création d'une Expression de mouvement noté ; il n'a pas à figurer avec la performance,,,,,"transcripteur d'une œuvre chorégraphique Personne chargée de la mise par écrit des chorégraphies et par là même, de leur analyse et de leur reconstruction, en association avec la transmission orale et le support vidéo. (Répertoire National des Certifications Professionnelles (RNCP) modifié) Technicien du spectacle qui retranscrit à l'aide d'un système conventionnel les pas, les mouvements et les figures d'une œuvre chorégraphique. (Office québécois de la langue française"
parodiste,"10/11/2017\n29/12/2017 : ajout d'une traduction anglaise, proposition de nouvelle définition\n16/02/2018 : modification de la définition (MV - CC)",,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work\nmusical_work,,parodist,,parodista,,"Agent qui compose ou écrit une parodie \n(Centre National de Ressources Textuelles et Lexicales CNRTL, modifié)","Pour les agents interprétant une parodie, leur donner la fonction d'interprète.",,,,,,
peintre,"18/10/2017 : ok\n09/11/2017 : ok\n29/12/2017 : ajout d'une traduction anglaise, proposition de nouvelle définition\n16/02/2018 : modif de la definition (MV-CC)\n28/02/2018 : ajout du casting dans le contexte et ajout de la scopenote",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""oeuvre graphique"")\nM28 Individual Performance (dans le cadre d'une improvisation)",creative_work\nperformance\ncasting,,painter,,pittore,,Agent responsable de la création d'une oeuvre picturale. ,"Si elle est incorporée à la distribution d'une oeuvre musicale, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre picturale dont l'expression ainsi créée est incorporée à l'expression exécutée de l'oeuvre musicale.",,Peut être utilisé en performance si un dessin est créé sur scène,,,,"Personne, artiste qui fait de la peinture (d'après Le petit Robert 2012) Personne responsable de la création de peintures (d'après RDA pour les créateurs)"
photographe,18/10/2017 : ok\n09/11/2017 : ok\n16/02/2018 : modif de la definition (MV-CC)\n28/02/2018 : ajout du casting dans le contexte et ajout de la scopenote,,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""oeuvre graphique"")\nM28 Individual Performance (dans le cadre d'une improvisation)",creative_work\nperformance\ncasting,,photographer,,fotografo,,Agent responsable de la création d’une oeuvre photographique,"Si elle est incorporée à la distribution d'une oeuvre musicale, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre photographique dont l'expression ainsi créée est incorporée à l'expression exécutée de  l'oeuvre musicale",,"Peut être utilisé en performance si une oeuvre est créée sur scène, lors de la représentation",,,,
présentateur dans un spectacle,30/10/2017 : ok\n16/02/2018 : modification de la définition (MV - CC)\n,,M28 Individual Performance,performance,animateur,presenter,,presentatore,conduttore,Agent apparaissant dans un spectacle pour fournir de l’information contextuelle ou complémentaire. ,,,,,,,
producteur (enregistrement phonographique),30/10/2017 : ok\n29/12/2017 : FL et FP : ajout d'un équivalent anglais (d'après RDA) \n16/02/2018 : modif de la def (VM - CC)\n09/05/2018 : un producteur de phonogrammes est le plus souvent une collectivité ! (FL et FP)  ,,F29 Recording Event \nM29 Editing Event,recording\nediting,Producteur de phonogramme,audio producer ,,produttore (registrazione audio),,"Agent qui, le premier, fixe les sons provenant d'une exécution ou d'autres sons. (Convention de Rome (article 3c) et Convention de Genève (article 1b), modifié)",,,[ Correspond à la date P sur les enregistrements ],,,,
producteur (enregistrement vidéographique),28/12/2017 : ajout CC\n29/12/2017 : FL et FP : ajout d'un équivalent anglais (d'après RDA) et d'une définition\net changement de l'intitulé \n16/02/2018 : modif de la def (VM - CC)\n09/05/2018 : un producteur de vidéogrammes est le plus souvent une collectivité (FL et FP)  ,,F29 Recording Event \nM29 Editing Event,"recording
\nediting",producteur de vidéogramme,video producer,,produttore (registrazione video),,"Agent qui a l'initiative et la responsabilité de la première fixation d'une \nséquence d'images sonorisée ou non. (Légifrance, modifié) \n  ",,,,,,,
producteur (radio),"30/10/2017 : ok\n08/11/2017 (CC) : hiérarchiser sous ""contributeur"" ?\n09/11/2017 (Réunion) : sous contributeur\n09/11/2017 : supprimer producteur télé\n16/02/2018 : modif de la définition (MV - CC)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""émission de radio"")\nF29 Recording Event \nM29 Editing Event",creative_work\nrecording\nediting,,radio producer,,produttore radiofonico,,"Agent qui conçoit une émission de radio, supervise et accompagne généralement sa réalisation. \n",,"Définition BnF : en télévision, personne physique qui conçoit une émission et supervise ou accompagne généralement sa réalisation. Longtemps, il s’est appelé producteur délégué ; aujourd’hui il est désigné sous le terme de producteur artistique. La mention de responsabilité peut apparaître dans le générique sous la forme : émission de, conçu par, producteur, producteur délégué, producteur artistique. Au cinéma, personne physique qui assume, du point de vue administratif et financier, la responsabilité de bonne fin d’un film. Dans les faits, le rôle du producteur artistique est plus large et peut comprendre des aspects de responsabilité intellectuelle. Note : lorsque le producteur est une personne morale, il ne peut s’agir que d’une responsabilité commerciale. Il arrive que la personne morale soit représentée par une personne physique. Dans ce cas, il ne faut pas confondre cette mention de responsabilité commerciale avec celle de responsabilité intellectuelle (en anglais : producer) (Z 44-065 Catalogage des vidéogrammes, septembre 1998) ; personne ou collectivité ayant la responsabilité financière et/ou administrative des processus physiques d’élaboration d’une ressource électronique. Il a des fonctions différentes selon le secteur d’activité. Voir aussi : Éditeur (Z 44-082 Catalogage des ressources électroniques, août 1999)\n\nÀ ne pas confondre avec 3150 (rôle dans la fixation du contenu).\n",,,,,"Personne responsable de la majeure partie des aspects financiers, techniques et artistiques d'une émission de radio (RDA)"
producteur (spectacle),30/10/2017 : ok\n29/12/2017 : FL et FP : ajout d'un équivalent anglais (d'après RDA)\n16/02/2018 : modif de la traduction anglaise,,F31 Performance,performance,,producer (show),,produttore (spettacolo),,"Agent responsable de la majeure partie des aspects financiers, techniques et artistiques de la production d'un spectacle, d'un concert, etc. Le producteur est généralement responsable d'assurer le financement, de gérer la production, de recruter le personnel clé, d'organiser la distribution, etc.(RDA, modifié)",,,,,,,
programmeur (informatique musicale),28/02/2018 : création de la fonction,,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""musique"")\nM28 Individual Performance\nM6 Casting",musical_work\nperformance\ncasting,,programmer (music computing),,,,"Agent qui a une fonction de création sonore par le biais de la programmation d'un dispositif  électronique ou informatique (boîte à rythme, sampler, etc.)",,,,,,,
réalisateur,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n29/12/2017 : FL et FP : ajout d'un équivalent anglais (d'après RDA)",,F28 Expression Creation (lié à F22 Self-Contained Expression)\nF29 Recording Event\nM29 Editing,creative_work\nrecording\nediting,,director,,regista,,"Agent responsable de la gestion et de la supervision générales d'une prestation filmée, d'une émission de radio ou de télévision, etc. (RDA, modifié)",,,,,,,
      > réalisateur de films,"09/11/2017 : uniquement F28 en contexte""\n29/12/2017 : FL et FP : ajout d'un équivalent anglais (d'après RDA)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""oeuvre cinématographique"")",creative_work\nrecording\nediting,,film director,,regista cinematografico,,Réalisateur responsable de la gestion et de la supervision générales d'une prestation filmée (RDA),,,,,,,
      > réalisateur d'émissions de radio,"09/11/2017 : uniquement F28 en contexte""\n29/12/2017 : FL et FP : ajout d'un équivalent anglais (d'après RDA)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""émission de radio"")\nF29 Recording Event\nM29 Editing",creative_work\nrecording\nediting,,radio director,,regista radiofonico,,Réalisateur responsable de la gestion et de la supervision générales d'une émission de radio (RDA),,,,,,,
remixeur,09/11/2017 : ok\n31/05/2017 : pourquoi pas aussi recording + editing en colonne E ? (FL + FP\n05/06/18 : rajout des collections recording et editing (MV),,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""musique"")\nF29 Recording Event\nM29 Editing",musical_work\nrecording\nediting,,remixer,,curatore del missaggio,curatore del mixaggio,"Agent qui utilise le mixage audio pour réaliser un autre enregistrement d’un morceau de musique, par addition ou soustraction d’éléments, ou par simple changement de l’égalisation, de la dynamique, de la vitesse, du tempo, de la durée ou de quasiment toute autre composante musicale. \n(Wikipédia, modifié)",,,,,,,
scénographe,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n29/12/2017 : FL et FP : ajout d'un équivalent anglais  et d'une définition (Office québécois de la langue française) \n16/02/2018 : changement de la traduction anglaise (MV - CC --> dictionnaire bilingue du spectacle)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""mise en scène"")",creative_work,,scenographer,,scenografo,,"Agent qui conçoit les esquisses et les maquettes qui serviront à la \ncréation des décors et de l'espace scénique, elle collabore avec le \nconcepteur de costumes et fait les recherches nécessaires pour recréer \nune époque ou l'ambiance souhaitée par le metteur en scène. (Office québécois de la langue française, modifié) \n                                                 ",,,(rajout MV le 17/05/17),,,,
technicien du son,16/02/2018 : modification de la traduction et de la définition (MV - CC),,F29 Recording Event\nM29 Editing Event\nF31 Performance,"recording
\nediting\nperformance",,sound technician,,tecnico del suono,,Tout agent prenant part à la mise en place d'un dispositif technique dédié au son.,,,\nEMPLOYÉ POUR : Preneur de son / associé au Recordin g event,,,,
   > ingénieur du son,16/02/2018 : modification de la traduction et  de la définition (MV - CC)\n09/05/2018 : F31 dans le contexte est contraire à la définition qui ne parle que d'enregistrement (FL et FP,,F29 Recording Event\nM29 Editing Event\nF31 Performance,recording\nediting\nperformance,directeur du son\nchef opérateur,sound engineer,,ingegnere del suono,,"Agent chargé de la qualité du son produit pour une réalisation audiovisuelle, un album de musique, un concert ou un spectacle (ONISEP, modifié)\n\n \n",,,,,,"Personne qui supervise les aspects techniques d’une session d’enregistrement sonore ou vidéo.\n(UNIMARC)\nPersonne responsable des aspects techniques sonores d'un évènement (spectacle, concerts, conférence...), d'un enregistrement ou de la diffusion d'une émission de radio ou de télévision.
\n",
   > preneur de son,16/02/2018 : ajout de la traduction et ajout F31 dans le contexte  (MV - CC)\n09/05/2018 : même remarque que pour l'ingénieur du son (FL et FP,,F29 Recording Event\nF31 Performance,recording\nperformance,prise de son,sound operator,,fonico,,"Agent chargé de l'ensemble des procédés et des réglages destinés à capter des sources sonores disposées dans l'espace à l'aide d'appareils électroacoustiques (choix et placement des microphones, consoles de mixage, etc.) que ce soit dans le cadre d’une représentation/exécution comme dans celui d’un enregistrement (Dictionnaire des mots de la musique, Jacques Siron, modifié)",,,,,,,
   > mixage,29/12/2017 : FL et FP : ajout d'un équivalent anglais  et d'une définition,,F29 Recording Event\nM29 Editing Event,recording\nediting\nperformance,mixeur,mixing,,missaggio,mixaggio,"Agent qui effectue l’opération technique et artistique par laquelle un certain nombre de sources sonores sont mélangées afin de parvenir à un équilibre cohérent, en intervenant sur le niveau, l'égaliseur, la dynamique et la spatialisation. Le mixage se réalise en studio pour le film et la musique enregistrée, et en régie pour un événement en direct tel un concert. (Wikipédia, modifié)",,,,,,,
    > sonorisateur,18/10/2017 : ok\n09/11/2017 : ok\n16/02/2018 : modification de la définition (MV - CC)\n28/02/2018 : revoir la traduction anglaise\n31/05/2018 : proposition FL + FP d'après un site anglais sur les carrières du son,,F31 Performance,performance\nperformance plan,,sound engineering technician,,,,"Agent qui prépare, en étroite collaboration avec le régisseur son, l'installation du matériel et l'acoustique de la salle.",,,,,,,
traducteur,09/11/2017 : OK\n10/11/22017 (CC) : sous auteur du texte ?,,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work,,translator,,traduttore,,"Agent qui traduit d’une langue dans une autre, ou d’un état ancien d’une langue vers son état moderne, en suivant de plus ou moins près l’original. (UNIMARC, modifié) ",,,,,,,
vidéaste,18/10/2017 : ok\n09/11/2017 : ok\n29/12/2017 : FL et FP : ajout d'un équivalent anglais  et d'une proposition de nouvelle définition\n16/02/2018 : modification de la déf et de la trad (MV - CC)\n28/02/2018 : ajout du casting dans le contexte et ajout de la scopenote,,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""oeuvre audiovisuelle"")\nM28 Individual Performance (dans le cas d'une improvisation)",creative_work\nperformance\ncasting,,video designer,,,,"Agent qui exerce une activité créatrice ou technique en rapport avec la vidéo. \n(Le Petit Robert, 2003. Modifié)","Si elle est incorporée à la distribution d'une oeuvre musicale, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre audiovisuelle dont l'expression ainsi créée est incorporée à l'expression exécutée de l'oeuvre musicale",,"Peut être utilisé en performance si une oeuvre est créée sur scène, lors de la représentation",,,,"Auteur ou réalisateur qui enregistre des images en vidéo, tourne des films en vidéo (Larousse en ligne)
\nCinéaste qui utilise une caméra vidéo.Cette activité regroupe des pratiques très différentes, du cinéaste professionnel qui emploie les techniques de la vidéo numérique au plasticien d'avant-garde en passant par l'amateur qui cherche à doter ses films privés d'une rigueur technique et esthétique.(Wikipédia modifié"
directeur de publication,28/02/2018 : ajout du terme. Définition à fournir par Françoise,,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work\npublication,,publishing director,editorial director,direttore editoriale,,"Agent qui préside à l'élaboration d'une oeuvre collective (le plus souvent une oeuvre agrégative) pour en assurer la cohérence ou la continuité. (Norme Z 44-059, modifiée).",,,,,,,
éditeur scientifique,28/02/2018 : ajout du terme. Définition à fournir par Françoise,,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work\npublication,éditeur intellectuel,editor,,curatore editoriale,,"Agent qui prépare la publication d’une œuvre dont il n’est pas l’auteur. Le travail éditorial peut être d’ordre purement technique ou intellectuel. (UNIMARC, modifié).",,,,,,,
programmateur artistique,12/03/2018 : ajout du terme\n12/06/2018 : modification de la définition,,F28 Expression Creation (lié à F22 Self-Contained Expression),programming_work\ncreative_work,,"
\nartistic programmer",artists and repertoire coordinator,,,"Agent qui définit les caractéristiques artistiques, choisit, construit et coordonne l’ensemble de l’offre culturelle pour une programmation artistique (festival, cycle ponctuel d'évènements, saison artistique d'une salle de spectacle, etc.) . (Apec, modifié)",,,,,,,
éditeur,,,F30 Publication Event (lié à F24 Publication Expression),publication,,publisher,,editore,,"Agent responsable de la publication, de la mise à disposition ou de l’émission d’une ressource. (RDA-FR, modifié).",,,,,,,
imprimeur,,,F3 Manifestation Product Type,publication,,printer,,tipografo,,Agent responsable de l'impression d'une ressource. ,"S'applique notamment aux ressources textuelles, de musique notée ou d'image fixe.",,,,,,
fabricant,,,F3 Manifestation Product Type,publication,,manufacturer,,fabbricante,,"Agent responsable de l’impression, du moulage, de la gravure, du pressage, du tirage, etc. d’une ressource. (RDA-FR, modifié).",,,,,,,
